"Evaluated Score","PGS Sample Set ID
(PSS)","Performance Source","PGS Effect Sizes
(per SD change)","Other Metrics","Covariates Included in the Model"
"PGS000056 (PD_PRS)","PSS000088|European Ancestry|285 individuals","PGP000041 |Paul KC et al. JAMA Neurol (2018)","HR: 1.44 [1.0, 2.07]",—,"sex, age at diagnosis"
"PGS000056 (PD_PRS)","PSS000088|European Ancestry|285 individuals","PGP000041 |Paul KC et al. JAMA Neurol (2018)","HR: 1.42 [1.0, 2.01]",—,"sex, age at diagnosis"
"PGS000056 (PD_PRS)","PSS000088|European Ancestry|285 individuals","PGP000041 |Paul KC et al. JAMA Neurol (2018)","HR: 1.34 [1.0, 1.79]",—,"sex, age at diagnosis"
"PGS000123 (2017_PD16)","PSS000225|European Ancestry|469 individuals","PGP000059 |Ibanez L et al. BMC Neurol (2017)","β: 5.84 [3.1, 8.59]","Association (p-value): 3e-05","age at last assessment, sex, 2 PCs of ancestry"
"PGS000123 (2017_PD16)","PSS000225|European Ancestry|469 individuals","PGP000059 |Ibanez L et al. BMC Neurol (2017)","β: 16.62 [9.63, 23.61]","Association (p-value): 3.19e-06","age at last assessment, sex, 2 PCs of ancestry"
"PGS000123 (2017_PD16)","PSS000226|European Ancestry|786 individuals","PGP000059 |Ibanez L et al. BMC Neurol (2017)","β: 4.85 [2.32, 7.39]","Association (p-value): 0.00018","age at last assessment, sex, 2 PCs of ancestry"
"PGS000123 (2017_PD16)","PSS000226|European Ancestry|786 individuals","PGP000059 |Ibanez L et al. BMC Neurol (2017)","β: 9.3 [3.59, 15.0]","Association (p-value): 0.00141","age at last assessment, sex, 2 PCs of ancestry"
"PGS000211 (PD19)","PSS000358|European Ancestry|336 individuals","PGP000087 |Pihlstrøm L et al. Mov Disord (2016)","HR: 1.29 [1.06, 1.56]",—,"sex, age at diagnosis"
"PGS000750 (PRS_43)","PSS000952|Multi-ancestry (including European)|486 individuals","PGP000155 |Bobbili DR et al. J Med Genet (2020)",—,—,"Sex, singleton loss of function variant count, Parkinson's disease family history."
"PGS000750 (PRS_43)","PSS000952|Multi-ancestry (including European)|486 individuals","PGP000155 |Bobbili DR et al. J Med Genet (2020)",—,—,"Sex, singleton loss of function variant count."
"PGS000750 (PRS_43)","PSS000952|Multi-ancestry (including European)|486 individuals","PGP000155 |Bobbili DR et al. J Med Genet (2020)",—,—,Sex
"PGS000777 (PHS3_PDD)","PSS000997|Multi-ancestry (including European)|404 individuals","PGP000181 |Liu G et al. Nat Genet (2021)","HR: 2.05 [1.16, 3.61]","Hazard's Ratio (HR, top 25% vs PHS of 0): 3.2 [1.26, 8.11]","Age at Parkinson's disease onset, sex, years of education, PCs(1-10), study cohort, genetic factors ... (genes: GBA, APOE ε4)Show more"
